input,target
726. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
727. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
728. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"729. У меня есть младший брат, ему 42 лет","У меня есть младший брат, ему 42 лет"
730. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"731. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"732. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
733. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
734. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
735. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
736. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"737. У меня есть младшая сестра, ей 39 лет","У меня есть младшая сестра, ей 39 лет"
738. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
739. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"740. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
741. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
742. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"743. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
744. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"745. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
746. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
747. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"748. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
749. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
750. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
751. Мой любимый сезон - осень,Мой любимый сезон - осень
752. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"753. У меня есть младший брат, ему 43 лет","У меня есть младший брат, ему 43 лет"
754. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"755. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"756. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
757. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
758. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"759. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
760. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"761. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
762. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
763. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"764. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
765. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
766. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
767. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
768. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"769. У меня есть младший брат, ему 44 лет","У меня есть младший брат, ему 44 лет"
770. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"771. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"772. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
773. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
774. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
775. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
776. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"777. У меня есть младшая сестра, ей 41 лет","У меня есть младшая сестра, ей 41 лет"
778. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
779. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"780. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
781. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
782. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"783. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
784. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"785. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
786. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
787. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"788. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
789. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
790. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
791. Мой любимый сезон - осень,Мой любимый сезон - осень
792. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"793. У меня есть младший брат, ему 45 лет","У меня есть младший брат, ему 45 лет"
794. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"795. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"796. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
797. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
798. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"799. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
800. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"801. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
802. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
803. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"804. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
805. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
806. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
807. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
808. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"809. У меня есть младший брат, ему 46 лет","У меня есть младший брат, ему 46 лет"
810. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"811. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"812. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
813. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
814. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
815. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
816. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"817. У меня есть младшая сестра, ей 43 лет","У меня есть младшая сестра, ей 43 лет"
818. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
819. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"820. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
821. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
822. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"823. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
824. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"825. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
826. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
827. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"828. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
829. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
830. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
831. Мой любимый сезон - осень,Мой любимый сезон - осень
832. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"833. У меня есть младший брат, ему 47 лет","У меня есть младший брат, ему 47 лет"
834. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"835. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"836. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
837. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
838. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"839. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
840. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"841. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
842. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
843. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"844. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
845. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
846. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
847. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
848. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"849. У меня есть младший брат, ему 48 лет","У меня есть младший брат, ему 48 лет"
850. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"851. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"852. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
853. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
854. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
855. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
856. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"857. У меня есть младшая сестра, ей 45 лет","У меня есть младшая сестра, ей 45 лет"
858. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
859. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"860. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
861. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
862. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"863. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
864. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"865. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
866. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
867. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"868. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
869. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
870. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
871. Мой любимый сезон - осень,Мой любимый сезон - осень
872. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"873. У меня есть младший брат, ему 49 лет","У меня есть младший брат, ему 49 лет"
874. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"875. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"876. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
877. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
878. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"879. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
880. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"881. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
882. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
883. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"884. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
885. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
886. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
887. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
888. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"889. У меня есть младший брат, ему 50 лет","У меня есть младший брат, ему 50 лет"
890. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"891. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"892. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
893. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
894. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
895. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
896. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"897. У меня есть младшая сестра, ей 47 лет","У меня есть младшая сестра, ей 47 лет"
898. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
899. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"900. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
901. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
902. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"903. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
904. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"905. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
906. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
907. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"908. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
909. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
910. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
911. Мой любимый сезон - осень,Мой любимый сезон - осень
912. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"913. У меня есть младший брат, ему 51 лет","У меня есть младший брат, ему 51 лет"
914. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"915. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"916. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
917. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
918. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"919. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
920. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"921. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
922. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
923. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"924. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
925. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
926. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
927. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
928. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"929. У меня есть младший брат, ему 52 лет","У меня есть младший брат, ему 52 лет"
930. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"931. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"932. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
933. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
934. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
935. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
936. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"937. У меня есть младшая сестра, ей 49 лет","У меня есть младшая сестра, ей 49 лет"
938. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
939. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"940. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
941. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
942. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"943. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
944. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"945. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
946. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
947. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"948. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
949. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
950. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
951. Мой любимый сезон - осень,Мой любимый сезон - осень
952. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"953. У меня есть младший брат, ему 53 лет","У меня есть младший брат, ему 53 лет"
954. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"955. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"956. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
957. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
958. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"959. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
960. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"961. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
962. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
963. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"964. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
965. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
966. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
967. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
968. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"969. У меня есть младший брат, ему 54 лет","У меня есть младший брат, ему 54 лет"
970. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"971. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"972. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
973. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
974. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
975. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
976. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"977. У меня есть младшая сестра, ей 51 лет","У меня есть младшая сестра, ей 51 лет"
978. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
979. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"980. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
981. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
982. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"983. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
984. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"985. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
986. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
987. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"988. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
989. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
990. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
991. Мой любимый сезон - осень,Мой любимый сезон - осень
992. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"993. У меня есть младший брат, ему 55 лет","У меня есть младший брат, ему 55 лет"
994. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"995. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"996. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
997. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
998. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"999. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
1000. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"1001. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
1002. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
1003. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"1004. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
1005. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
1006. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
1007. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
1008. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"1009. У меня есть младший брат, ему 56 лет","У меня есть младший брат, ему 56 лет"
1010. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"1011. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"1012. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
1013. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
1014. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
1015. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
1016. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"1017. У меня есть младшая сестра, ей 53 лет","У меня есть младшая сестра, ей 53 лет"
1018. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
1019. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"1020. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
1021. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
1022. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"1023. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
1024. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"1025. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
1026. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
1027. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"1028. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
1029. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
1030. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
1031. Мой любимый сезон - осень,Мой любимый сезон - осень
1032. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"1033. У меня есть младший брат, ему 57 лет","У меня есть младший брат, ему 57 лет"
1034. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"1035. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"1036. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
1037. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
1038. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"1039. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
1040. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"1041. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
1042. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
1043. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"1044. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
1045. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
1046. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
1047. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
1048. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"1049. У меня есть младший брат, ему 58 лет","У меня есть младший брат, ему 58 лет"
1050. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"1051. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"1052. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
1053. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
1054. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
1055. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
1056. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"1057. У меня есть младшая сестра, ей 55 лет","У меня есть младшая сестра, ей 55 лет"
1058. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
1059. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"1060. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
1061. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
1062. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"1063. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
1064. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"1065. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
1066. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
1067. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"1068. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
1069. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
1070. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
1071. Мой любимый сезон - осень,Мой любимый сезон - осень
1072. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"1073. У меня есть младший брат, ему 59 лет","У меня есть младший брат, ему 59 лет"
1074. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"1075. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"1076. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
1077. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
1078. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"1079. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
1080. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"1081. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
1082. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
1083. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"1084. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
